SN,WRINVSTG_NO,DPRS_CNT,INJPSN_CNT,HNL_DMGE_CNT,PRPRTY_DMGE_AMT,UPRINSTT_NM,FRSTT_NM,WARD_NM,LFDAU_NM,FIRE_OCRN_YMD,FIRE_OCRN_TIME,RCPT_YMD,RCPT_TM,LOC_INFO_X,LOC_INFO_Y,DSP_YMD,DSP_TM,SPT_ARVL_YMD,SPT_ARVL_TM,FSMDEM_YMD,FSMDEM_TM,COMPET_YMD,COMPET_TM,HMG_YMD,HMG_TM,DSP_REQRE_TIME,FIRE_SUPESN_TIME,SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,SIDO_NM,SIGUNGU_NM,EMD_NM,EMD_SE_NM,LNBR,ROAD_NM,FCLTY_PLACE_LCLAS_NM,FCLTY_PLACE_MCLAS_NM,FCLTY_PLACE_SCLAS_NM,FIRE_TYPE_NM,IGN_BHF,IGN_CAUSE,IGN_HTSRC_NM,IGN_FCTR_SCLAS_NM,IGN_FCTR_LCLAS_NM,IGN_HTSRC_SCLAS_NM,FRST_IGOBJ_LCLAS_NM,FRST_IGOBJ_SCLAS_NM,CMBS_EXPOBJ_LCLAS_NM,CMBS_EXPOBJ_SCLAS_NM,OCRN_CAUSE,ALL_HNF_CNT_SUM,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,POLICE_CNT,GNRL_CNT,SOLDIER_CNT,ELCTY_GAS_INSTT_CNT,ETC_CNT,MBLZ_EQPMN_CNT,WETHR,TP,HUMIDITY,TIME_UNIT_WS,TIME_UNIT_WD,SPCNWS_CN
1,110123030212740,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20110122,233500,20110122,233511,,,20110122,233615,20110122,235315,20110123,121115,20110123,001115,20110123,020515,001700,001800,9,9,0.0,강원도,강릉시,죽헌동,,108-41,,임야,산불,사유림,임야,산정상,기타,"담뱃불, 라이터불","라이터불, 성냥불",방화의심,방화의심,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",나무,"원거리 소방서/현장진입 지연(불법주차)/화재인지,신고 지연",37,19,0,0,18,0,0,0,8,맑음,-1.0,30,45.0,8.0,
2,110201124633193,0,0,0,184330,강원소방본부,양양소방서,하조대119안전센터,,20110131,181300,20110131,181311,,,20110131,181409,20110131,183024,20110201,094538,20110201,103016,20110201,114552,001615,155952,43,13,0.0,강원도,양양군,현남면,상월천리,289,,임야,산불,사유림,임야,산아래,기타,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎",기타,기타,"기상(건조, 강풍 등)",1872,270,335,10,700,0,8,549,71,맑음,1.0,10,225.0,8.0,건조 경보
3,110202001905680,0,0,0,0,강원소방본부,강릉소방서,경포119안전센터,,20110201,210700,20110201,210710,,,20110201,210826,20110201,211500,20110201,102300,20110201,223800,20110201,233000,000634,012300,7,6,0.0,강원도,강릉시,대전동,,147-3,,임야,산불,사유림,임야,산정상,기타,기타,기타,방화의심,방화의심,"종이,목재,건초등",잔디,,,,184,17,7,50,110,0,0,0,15,맑음,1.0,550,135.0,4.0,
4,110211232658327,0,0,0,4864,강원소방본부,홍천소방서,서석119안전센터,내촌119지역대,20110211,175000,20110211,175032,,,20110211,175220,20110211,181500,20110211,074100,20110211,202000,20110211,214955,002240,020500,37,37,7.0,강원도,홍천군,내촌면,물걸리,5,,임야,산불,국유림,임야,산중턱,기타 입산자실화,기타,기타,기타,기타,"종이,목재,건초등","풀, 나뭇잎",,,,171,8,87,10,33,0,33,0,9,구름많음,-2.0,29,225.0,4.0,
5,110212113557218,0,0,0,50,강원소방본부,원주소방서,흥업119안전센터,귀래119지역대,20110212,061800,20110212,061836,,,20110212,062010,20110212,064029,20110212,082038,20110212,103038,20110212,111838,002019,035009,20,20,8.0,강원도,원주시,귀래면,귀래리,1894-3,,임야,산불,사유림,임야,산중턱,모닥불,"불꽃, 불티","모닥불, 연탄, 숯",부주의,"불씨,불꽃,화원방치","종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","화재인지,신고 지연",94,11,26,4,0,0,38,15,9,구름많음,-6.0,44,225.0,4.0,
6,110226184027069,0,0,0,440,강원소방본부,원주소방서,태장119안전센터,,20110226,164200,20110226,164234,,,20110226,164353,20110226,164901,20110226,052601,20110226,172726,20110226,183011,000508,003825,8,2,0.0,강원도,원주시,태장동,,363-33,,임야,산불,사유림,임야,산정상,담뱃불,"담뱃불, 라이터불",담뱃불,부주의,담배꽁초,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎","기상(건조, 강풍 등)",46,10,0,0,0,0,36,0,8,맑음,14.0,23,180.0,4.0,
7,110309213244170,0,0,0,600,강원소방본부,영월소방서,영월119안전센터,,20110309,131800,20110309,131855,,,20110309,131916,20110309,132916,20110309,050016,20110309,200016,20110310,083947,001000,063100,9,9,8.0,강원도,영월군,영월읍,정양리,,,임야,산불,국유림,임야,산아래,기타,"불꽃, 불티","기타(불꽃,불티)",부주의,기타(부주의),"침구,직물류","기타(침구,직물류)",,,,204,17,41,5,45,0,67,29,26,맑음,1.0,19,225.0,8.0,
8,110311163316993,0,0,0,0,강원소방본부,횡성소방서,우천119안전센터,,20110311,134200,20110311,134249,,,20110311,134334,20110311,140409,20110311,021746,20110311,151737,20110311,162000,002035,011328,17,10,0.0,강원도,횡성군,우천면,정금리,21,,임야,산불,사유림,임야,산정상,기타 입산자실화,미상,미상,부주의,기타(부주의),"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등",나무,"가연성물질의 급격한 연소/기상(건조, 강풍 등)/원거리 소방서",214,10,15,5,110,0,0,74,10,맑음,5.0,43,225.0,4.0,
9,110315000430920,0,0,0,64,강원소방본부,영월소방서,영월119안전센터,,20110314,193500,20110314,193519,,,20110314,193540,20110314,195222,20110314,090022,20110314,230622,20110314,234022,001642,031400,9,9,7.0,강원도,영월군,영월읍,정양리,80,,임야,산불,사유림,임야,산아래,미상,미상,미상,미상,미상,미상,미상,,,,116,11,33,4,68,0,0,0,5,맑음,4.0,67,45.0,4.0,
10,110318150237275,0,0,0,3264,강원소방본부,홍천소방서,홍천119안전센터,,20110318,115800,20110318,115807,,,20110318,115900,20110318,120327,20110318,123300,20110318,124800,20110318,134453,000427,004433,6,6,0.0,강원도,홍천군,홍천읍,연봉리,,,임야,산불,사유림,임야,산정상,기타 입산자실화,기타,기타,기타,기타,"종이,목재,건초등","풀, 나뭇잎","종이,목재,건초등","풀, 나뭇잎",가연성물질의 급격한 연소,88,16,21,4,22,0,10,15,15,맑음,9.0,21,315.0,4.0,
