msfrtn_resc_reprt_no,acdnt_cause,prcs_result_se_nm,dclr_ymd,dclr_tm,dclr_yr,season_se_nm,qu_se,dclr_mnth,dclr_day,dclr_hour,dclr_min,daywk,dsp_ymd,dsp_tm,dsp_yr,dsp_mnth,dsp_day,dsp_hour,dsp_min,spt_arvl_ymd,spt_arvl_tm,spt_arvl_yr,spt_arvl_mnth,spt_arvl_day,spt_arvl_hour,spt_arvl_min,resc_cmptn_ymd,resc_cmptn_tm,resc_cmptn_yr,resc_cmptn_mnth,resc_cmptn_day,resc_cmptn_hour,resc_cmptn_min,hmg_ymd,hmg_tm,hmg_yr,hmg_mnth,hmg_day,hmg_hour,hmg_min,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se_nm,emd_se_nm,loc_info_x,loc_info_y,spt_frstt_dist,acdnt_place_nm,acdnt_place_detail_nm,acdnt_cause_asort_nm,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,frstt_nm,ward_nm,lfdau_nm
20114506102S00001,수난,안전조치,20110101,222600,2011,겨울,1,01,01,22,26,토요일,20110101,222900,2011,01,01,22,29,20110101,224800,2011,01,01,22,48,20110101,230200,2011,01,01,23,02,20110101,233300,2011,01,01,23,33,전라북도,순창군 ,구림면,농촌,면,211958.687500000,217835.093800000,13.00,하천ㆍ바다,저수지,수난기타,,,,,,,남원소방서,순창119센터_폐서,
20114506305S00001,수난,인명구조,20110101,222600,2011,겨울,1,01,01,22,26,토요일,20110101,222900,2011,01,01,22,29,20110101,225300,2011,01,01,22,53,20110101,231400,2011,01,01,23,14,20110101,231400,2011,01,01,23,14,전라북도,순창군 ,구림면,농촌,면,211958.687500000,217835.093800000,6.00,기타,기타,익수,,,,,,,남원소방서,순창119센터_폐서,구림119지역대_폐서
20114503601S00001,수난,인명구조,20110104,194900,2011,겨울,1,01,04,19,49,화요일,20110104,200300,2011,01,04,20,03,20110104,202000,2011,01,04,20,20,20110104,202000,2011,01,04,20,20,20110104,204500,2011,01,04,20,45,전라북도,군산시,미룡동,도시,동,172897.750000000,272311.500000000,8.00,하천ㆍ바다,저수지,자살기도,-0.4,,1.9,160,94,2.0,군산소방서,현장대응단(군산)_폐서예정,
20114504105S00006,수난,인명구조,20110118,141200,2011,겨울,1,01,18,14,12,화요일,20110118,141300,2011,01,18,14,13,20110118,143400,2011,01,18,14,34,20110118,143400,2011,01,18,14,34,20110118,143400,2011,01,18,14,34,전라북도,익산시,동산동,도시,동,196519.203100000,269793.468800000,1.00,하천ㆍ바다,하천,물놀이,-0.8,,2.2,320,56,,익산소방서,인화119안전센터,
20114509201S00030,수난,인명구조,20110120,121800,2011,겨울,1,01,20,12,18,목요일,20110120,121900,2011,01,20,12,19,20110120,124000,2011,01,20,12,40,20110120,131000,2011,01,20,13,10,20110120,134000,2011,01,20,13,40,전라북도,부안군 ,변산면,농촌,면,151887.843800000,236720.281300000,34.00,하천ㆍ바다,강바다,수난기타,-3.2,,1.5,70,54,,부안소방서,부안119구조대,
20114501201S00240,수난,기타,20110223,004200,2011,겨울,1,02,23,00,42,수요일,20110223,004300,2011,02,23,00,43,20110223,004400,2011,02,23,00,44,20110223,005800,2011,02,23,00,58,20110223,013600,2011,02,23,01,36,전라북도,전주시덕진구,덕진동2가,도시,동,210664.828100000,261222.312500000,1.00,하천ㆍ바다,"하천,바다 기타",수난기타,1.7,,1.4,140,79,,전주덕진소방서,전주덕진119구조대,
20114501201S00245,수난,인명구조,20110223,075700,2011,겨울,1,02,23,07,57,수요일,20110223,075800,2011,02,23,07,58,20110223,080100,2011,02,23,08,01,20110223,084800,2011,02,23,08,48,20110223,090000,2011,02,23,09,00,전라북도,전주시덕진구,덕진동1가,도시,동,211186.109400000,260667.062500000,2.50,하천ㆍ바다,"하천,바다 기타",사체인양,-0.5,,0.9,160,88,,전주덕진소방서,전주덕진119구조대,
20114505201S00116,수난,인명구조,20110223,131900,2011,겨울,1,02,23,13,19,수요일,20110223,131900,2011,02,23,13,19,20110223,132800,2011,02,23,13,28,20110223,135000,2011,02,23,13,50,20110223,141200,2011,02,23,14,12,전라북도,정읍시,내장동,도시,동,185697.953100000,229412.625000000,9.00,하천ㆍ바다,저수지,사체인양,13.2,,1.2,230,39,,정읍소방서,정읍119구조대,
20114509201S00086,수난,인명검색,20110225,145100,2011,겨울,1,02,25,14,51,금요일,20110225,145300,2011,02,25,14,53,20110225,151000,2011,02,25,15,10,20110225,173000,2011,02,25,17,30,20110225,180000,2011,02,25,18,00,전라북도,군산시,옥도면,농촌,면,157579.843800000,248037.671900000,27.00,하천ㆍ바다,"하천,바다 기타",익수,8.1,,3.3,270,50,,부안소방서,부안119구조대,
20114509601S00001,수난,인명구조,20110225,145100,2011,겨울,1,02,25,14,51,금요일,20110225,145400,2011,02,25,14,54,20110225,153100,2011,02,25,15,31,20110225,172800,2011,02,25,17,28,20110225,175800,2011,02,25,17,58,전라북도,군산시,옥도면,농촌,면,157579.843800000,248037.671900000,27.00,하천ㆍ바다,강바다,익수,8.1,,3.3,270,50,,부안소방서,방호구조과,
20114503307S00030,수난,인명검색,20110225,145100,2011,겨울,1,02,25,14,51,금요일,20110225,145400,2011,02,25,14,54,20110225,153100,2011,02,25,15,31,20110225,181500,2011,02,25,18,15,20110225,183000,2011,02,25,18,30,전라북도,군산시,옥도면,농촌,면,157579.843800000,248037.671900000,36.00,하천ㆍ바다,"하천,바다 기타",수난기타,8.1,,3.3,270,50,,군산소방서,새만금구조대,
20114509303S00005,수난,기타,20110225,145100,2011,겨울,1,02,25,14,51,금요일,20110225,145400,2011,02,25,14,54,20110225,153100,2011,02,25,15,31,20110225,180000,2011,02,25,18,00,20110225,183000,2011,02,25,18,30,전라북도,군산시,옥도면,농촌,면,157579.843800000,248037.671900000,12.00,하천ㆍ바다,"하천,바다 기타",수난기타,8.1,,3.3,270,50,,부안소방서,격포119안전센터,변산119지역대
20114509303S00006,수난,인명검색,20110226,084900,2011,겨울,1,02,26,08,49,토요일,20110226,085000,2011,02,26,08,50,20110226,103800,2011,02,26,10,38,20110226,170500,2011,02,26,17,05,20110226,172000,2011,02,26,17,20,전라북도,군산시,옥도면,농촌,면,167885.609400000,253543.218800000,16.00,하천ㆍ바다,"하천,바다 기타",익수,1.0,,4.0,90,58,,부안소방서,격포119안전센터,변산119지역대
20114509201S00087,수난,인명검색,20110226,084900,2011,겨울,1,02,26,08,49,토요일,20110226,085000,2011,02,26,08,50,20110226,103800,2011,02,26,10,38,20110226,185000,2011,02,26,18,50,20110226,192000,2011,02,26,19,20,전라북도,부안군 ,계화면,농촌,면,167885.609400000,253543.218800000,27.00,하천ㆍ바다,"하천,바다 기타",수난기타,-2.3,,0.0,0,83,,부안소방서,부안119구조대,
20114509303S00007,수난,인명구조,20110227,090500,2011,겨울,1,02,27,09,05,일요일,20110227,090500,2011,02,27,09,05,20110227,101100,2011,02,27,10,11,20110227,183000,2011,02,27,18,30,20110227,183800,2011,02,27,18,38,전라북도,부안군 ,변산면,농촌,면,159985.015600000,244481.937500000,7.00,하천ㆍ바다,"하천,바다 기타",수난기타,7.2,1.00,1.2,110,96,,부안소방서,격포119안전센터,변산119지역대
20114509201S00090,수난,인명검색,20110227,090500,2011,겨울,1,02,27,09,05,일요일,20110227,090500,2011,02,27,09,05,20110227,092500,2011,02,27,09,25,20110227,174000,2011,02,27,17,40,20110227,180000,2011,02,27,18,00,전라북도,부안군 ,변산면,농촌,면,159985.015600000,244481.937500000,41.00,하천ㆍ바다,강바다,수난기타,7.2,1.00,1.2,110,96,,부안소방서,부안119구조대,
20114509201S00092,수난,인명검색,20110228,093100,2011,겨울,1,02,28,09,31,월요일,20110228,093100,2011,02,28,09,31,20110228,095800,2011,02,28,09,58,20110228,170500,2011,02,28,17,05,20110228,174200,2011,02,28,17,42,전라북도,부안군 ,하서면,농촌,면,164020.109400000,244489.156300000,20.00,하천ㆍ바다,"하천,바다 기타",수난기타,5.5,0.50,2.1,360,96,,부안소방서,부안119구조대,
20114509201S00094,수난,인명검색,20110301,090500,2011,봄,1,03,01,09,05,화요일,20110301,090600,2011,03,01,09,06,20110301,093000,2011,03,01,09,30,20110301,165000,2011,03,01,16,50,20110301,172000,2011,03,01,17,20,전라북도,부안군 ,부안읍,농촌,읍,176278.046900000,243491.000000000,42.00,하천ㆍ바다,강바다,익수,1.4,0.50,3.0,320,93,,부안소방서,부안119구조대,
20114509201S00095,수난,인명구조,20110302,092900,2011,봄,1,03,02,09,29,수요일,20110302,092900,2011,03,02,09,29,20110302,095000,2011,03,02,09,50,20110302,134000,2011,03,02,13,40,20110302,141900,2011,03,02,14,19,전라북도,부안군 ,변산면,농촌,면,152308.921900000,236576.421900000,20.00,하천ㆍ바다,"하천,바다 기타",수난기타,1.1,,2.4,360,43,,부안소방서,부안119구조대,
20114509201S00116,수난,인명검색,20110315,102700,2011,봄,1,03,15,10,27,화요일,20110315,102800,2011,03,15,10,28,20110315,103300,2011,03,15,10,33,20110315,120000,2011,03,15,12,00,20110315,122400,2011,03,15,12,24,전라북도,부안군 ,동진면,도시,면,179092.687500000,250064.093800000,5.00,하천ㆍ바다,저수지,수난기타,4.0,,3.6,320,63,,부안소방서,부안119구조대,
20114508304S00006,수난,인명구조,20110321,134100,2011,봄,1,03,21,13,41,월요일,20110321,134200,2011,03,21,13,42,20110321,135500,2011,03,21,13,55,20110321,145000,2011,03,21,14,50,20110321,151100,2011,03,21,15,11,전라북도,고창군 ,상하면,농촌,면,148568.609400000,215296.796900000,13.00,하천ㆍ바다,"하천,바다 기타",수난기타,12.5,,5.2,290,67,,고창소방서,무장119안전센터,해리119지역대
20114508201S00108,수난,인명구조,20110321,134100,2011,봄,1,03,21,13,41,월요일,20110321,134200,2011,03,21,13,42,20110321,140800,2011,03,21,14,08,20110321,144000,2011,03,21,14,40,20110321,151100,2011,03,21,15,11,전라북도,고창군 ,상하면,농촌,면,148568.609400000,215296.796900000,25.00,하천ㆍ바다,강바다,수난기타,12.5,,5.2,290,67,,고창소방서,고창119구조대,
20114503103S00007,수난,기타,20110321,214200,2011,봄,1,03,21,21,42,월요일,20110321,214300,2011,03,21,21,43,20110321,221300,2011,03,21,22,13,20110321,222000,2011,03,21,22,20,20110321,222900,2011,03,21,22,29,전라북도,군산시,나운동,도시,동,172073.953100000,273800.875000000,5.00,숙박시설,여관,수난기타,5.3,,3.3,340,76,,군산소방서,금동119안전센터,
20114501109S00008,수난,인명구조,20110322,125300,2011,봄,1,03,22,12,53,화요일,20110322,125400,2011,03,22,12,54,20110322,125800,2011,03,22,12,58,20110322,130800,2011,03,22,13,08,20110322,131500,2011,03,22,13,15,전라북도,완주군 ,동상면,도시,면,231385.046900000,270241.218800000,10.00,하천ㆍ바다,강,수난기타,,,,,,,전주덕진소방서,고산119안전센터_폐서예정,
20114503103S00008,수난,기타,20110329,164900,2011,봄,1,03,29,16,49,화요일,20110329,165000,2011,03,29,16,50,20110329,165900,2011,03,29,16,59,20110329,170400,2011,03,29,17,04,20110329,172700,2011,03,29,17,27,전라북도,군산시,해망동,도시,동,172975.265600000,277149.250000000,2.00,하천ㆍ바다,강바다,수난기타,7.0,,7.0,340,66,,군산소방서,금동119안전센터,
20114503202S00302,수난,인명구조,20110329,164900,2011,봄,1,03,29,16,49,화요일,20110329,165000,2011,03,29,16,50,20110329,165700,2011,03,29,16,57,20110329,171500,2011,03,29,17,15,20110329,173500,2011,03,29,17,35,전라북도,군산시,해망동,도시,동,172975.265600000,277149.250000000,8.00,하천ㆍ바다,"하천,바다 기타",수난기타,7.0,,7.0,340,66,,군산소방서,군산119구조대,
20114504201S00399,수난,인명구조,20110406,104700,2011,봄,2,04,06,10,47,수요일,20110406,104900,2011,04,06,10,49,20110406,110500,2011,04,06,11,05,20110406,124000,2011,04,06,12,40,20110406,142600,2011,04,06,14,26,전라북도,익산시,여산면,농촌,면,210075.406300000,282728.156300000,15.00,하천ㆍ바다,저수지,사체인양,14.0,,2.1,320,28,,익산소방서,익산119구조대,
20114503202S00364,수난,인명구조,20110412,095000,2011,봄,2,04,12,09,50,화요일,20110412,095100,2011,04,12,09,51,20110412,095800,2011,04,12,09,58,20110412,102000,2011,04,12,10,20,20110412,102200,2011,04,12,10,22,전라북도,군산시,성산면,농촌,면,178145.593800000,279740.812500000,7.00,하천ㆍ바다,강,사체인양,7.7,,2.0,200,77,,군산소방서,군산119구조대,
20114502105S00110,수난,인명구조,20110415,220000,2011,봄,2,04,15,22,00,금요일,20110415,220100,2011,04,15,22,01,20110415,222500,2011,04,15,22,25,20110415,223000,2011,04,15,22,30,20110415,230000,2011,04,15,23,00,전라북도,임실군 ,덕치면,농촌,면,217391.281300000,221783.156300000,22.00,하천ㆍ바다,강,수난기타,11.8,,3.6,290,85,,전주완산소방서,임실119안전센터,
20114509201S00179,수난,인명구조,20110419,133000,2011,봄,2,04,19,13,30,화요일,20110419,133000,2011,04,19,13,30,20110419,134500,2011,04,19,13,45,20110419,141500,2011,04,19,14,15,20110419,151100,2011,04,19,15,11,전라북도,부안군 ,백산면,농촌,면,180388.718800000,245345.125000000,12.00,하천ㆍ바다,강,자살기도,13.6,,4.6,320,34,,부안소방서,부안119구조대,
20114508304S00011,수난,인명구조,20110424,140300,2011,봄,2,04,24,14,03,일요일,20110424,140600,2011,04,24,14,06,20110424,141800,2011,04,24,14,18,20110424,144500,2011,04,24,14,45,20110424,151600,2011,04,24,15,16,전라북도,고창군 ,상하면,농촌,면,149382.171900000,216392.609400000,12.00,하천ㆍ바다,"하천,바다 기타",수난기타,14.4,,8.0,290,54,,고창소방서,무장119안전센터,해리119지역대
20114509201S00219,수난,기타,20110506,141400,2011,봄,2,05,06,14,14,금요일,20110506,141600,2011,05,06,14,16,20110506,142800,2011,05,06,14,28,20110506,143200,2011,05,06,14,32,20110506,145100,2011,05,06,14,51,전라북도,부안군 ,변산면,농촌,면,152308.921900000,236576.421900000,17.00,하천ㆍ바다,"하천,바다 기타",수난기타,19.6,,4.6,200,63,,부안소방서,부안119구조대,
20114503307S00065,수난,안전조치,20110508,101700,2011,봄,2,05,08,10,17,일요일,20110508,103600,2011,05,08,10,36,20110508,104600,2011,05,08,10,46,20110508,105500,2011,05,08,10,55,20110508,112600,2011,05,08,11,26,전라북도,군산시,비응도동,도시,동,157832.609400000,270891.968800000,10.00,하천ㆍ바다,강바다,수난기타,18.7,,1.0,340,73,,군산소방서,새만금구조대,
20114503104S00014,수난,인명구조,20110508,101700,2011,봄,2,05,08,10,17,일요일,20110508,103000,2011,05,08,10,30,20110508,104000,2011,05,08,10,40,20110508,104100,2011,05,08,10,41,20110508,112600,2011,05,08,11,26,전라북도,군산시,비응도동,도시,동,157832.609400000,270891.968800000,10.00,하천ㆍ바다,강바다,익수,18.7,,1.0,340,73,,군산소방서,항만119안전센터,
20114503202S00474,수난,인명구조,20110508,101700,2011,봄,2,05,08,10,17,일요일,20110508,101900,2011,05,08,10,19,20110508,104800,2011,05,08,10,48,20110508,105500,2011,05,08,10,55,20110508,112600,2011,05,08,11,26,전라북도,군산시,비응도동,도시,동,157832.609400000,270891.968800000,30.00,하천ㆍ바다,강바다,수난기타,18.7,,1.0,340,73,,군산소방서,군산119구조대,
20114510103S00188,수난,안전조치,20110509,163900,2011,봄,2,05,09,16,39,월요일,20110509,164000,2011,05,09,16,40,20110509,175000,2011,05,09,17,50,20110509,180000,2011,05,09,18,00,20110509,182000,2011,05,09,18,20,전라북도,무주군 ,무주읍,농촌,읍,256730.156300000,279491.906300000,15.00,하천ㆍ바다,하천,수난기타,,,,,,,무진장소방서,무주119안전센터,
20114501201S00651,수난,인명구조,20110510,124900,2011,봄,2,05,10,12,49,화요일,20110510,125100,2011,05,10,12,51,20110510,133300,2011,05,10,13,33,20110510,133400,2011,05,10,13,34,20110510,154800,2011,05,10,15,48,전라북도,완주군 ,고산면,농촌,면,219064.843800000,275599.750000000,20.50,하천ㆍ바다,하천,수난기타,,,,,,,전주덕진소방서,전주덕진119구조대,
20114505201S00336,수난,안전조치,20110513,045900,2011,봄,2,05,13,04,59,금요일,20110513,050000,2011,05,13,05,00,20110513,052000,2011,05,13,05,20,20110513,053000,2011,05,13,05,30,20110513,055000,2011,05,13,05,50,전라북도,정읍시,내장동,도시,동,191979.062500000,222033.265600000,13.00,하천ㆍ바다,저수지,자살기도,10.8,,0.7,90,64,,정읍소방서,정읍119구조대,
20114505201S00337,수난,인명구조,20110513,075200,2011,봄,2,05,13,07,52,금요일,20110513,075200,2011,05,13,07,52,20110513,080300,2011,05,13,08,03,20110513,110000,2011,05,13,11,00,20110513,112300,2011,05,13,11,23,전라북도,정읍시,쌍암동,도시,동,190804.546900000,224176.984400000,12.00,하천ㆍ바다,저수지,자살기도,11.8,,1.3,110,72,,정읍소방서,정읍119구조대,
20114504201S00597,수난,인명구조,20110515,125700,2011,봄,2,05,15,12,57,일요일,20110515,125900,2011,05,15,12,59,20110515,132700,2011,05,15,13,27,20110515,142000,2011,05,15,14,20,20110515,144600,2011,05,15,14,46,전라북도,익산시,여산면,농촌,면,208462.125000000,280657.531300000,16.00,하천ㆍ바다,저수지,사체인양,25.6,,3.8,230,19,,익산소방서,익산119구조대,
20114510104S00087,수난,인명구조,20110517,165300,2011,봄,2,05,17,16,53,화요일,20110517,165400,2011,05,17,16,54,20110517,170500,2011,05,17,17,05,20110517,173300,2011,05,17,17,33,20110517,180100,2011,05,17,18,01,전라북도,진안군 ,진안읍,농촌,읍,242388.968800000,254228.515600000,5.00,논밭ㆍ축사,밭,차량추락,,,,,,,무진장소방서,진안119안전센터,
20114509303S00014,수난,안전조치,20110521,130800,2011,봄,2,05,21,13,08,토요일,20110521,130900,2011,05,21,13,09,20110521,132500,2011,05,21,13,25,20110521,133000,2011,05,21,13,30,20110521,134800,2011,05,21,13,48,전라북도,부안군 ,변산면,농촌,면,156431.531300000,241109.453100000,4.00,하천ㆍ바다,"하천,바다 기타",수난기타,16.7,0.00,2.6,20,92,,부안소방서,격포119안전센터,변산119지역대
20114508102S00011,수난,인명구조,20110521,152900,2011,봄,2,05,21,15,29,토요일,20110521,152900,2011,05,21,15,29,20110521,154900,2011,05,21,15,49,20110521,165200,2011,05,21,16,52,20110521,170600,2011,05,21,17,06,전라북도,고창군 ,상하면,농촌,면,149509.812500000,216545.531300000,12.00,하천ㆍ바다,"하천,바다 기타",수난기타,18.1,0.40,5.9,20,94,,고창소방서,무장119안전센터,
20114508102S00012,수난,안전조치,20110522,102100,2011,봄,2,05,22,10,21,일요일,20110522,102200,2011,05,22,10,22,20110522,103200,2011,05,22,10,32,20110522,105500,2011,05,22,10,55,20110522,111000,2011,05,22,11,10,전라북도,고창군 ,상하면,농촌,면,150722.375000000,217806.843800000,10.00,하천ㆍ바다,"하천,바다 기타",수난기타,19.7,,4.1,20,66,,고창소방서,무장119안전센터,
20114508304S00017,수난,안전조치,20110522,102100,2011,봄,2,05,22,10,21,일요일,20110522,102200,2011,05,22,10,22,20110522,103200,2011,05,22,10,32,20110522,105500,2011,05,22,10,55,20110522,111000,2011,05,22,11,10,전라북도,고창군 ,상하면,농촌,면,150722.375000000,217806.843800000,10.00,하천ㆍ바다,"하천,바다 기타",수난기타,19.7,,4.1,20,66,,고창소방서,무장119안전센터,해리119지역대
20114509201S00250,수난,기타,20110522,181000,2011,봄,2,05,22,18,10,일요일,20110522,181100,2011,05,22,18,11,20110522,182100,2011,05,22,18,21,20110522,182300,2011,05,22,18,23,20110522,184200,2011,05,22,18,42,전라북도,부안군 ,변산면,농촌,면,151916.015600000,236687.968800000,17.00,하천ㆍ바다,"하천,바다 기타",수난기타,18.4,,0.4,0,72,,부안소방서,부안119구조대,
20114509102S00011,수난,안전조치,20110522,181000,2011,봄,2,05,22,18,10,일요일,20110522,181100,2011,05,22,18,11,20110522,182100,2011,05,22,18,21,20110522,182100,2011,05,22,18,21,20110522,182200,2011,05,22,18,22,전라북도,부안군 ,변산면,농촌,면,151916.015600000,236687.968800000,3.00,하천ㆍ바다,"하천,바다 기타",수난기타,18.4,,0.4,0,72,,부안소방서,격포119안전센터,
20114509201S00256,수난,안전조치,20110523,175800,2011,봄,2,05,23,17,58,월요일,20110523,175900,2011,05,23,17,59,20110523,182000,2011,05,23,18,20,20110523,185000,2011,05,23,18,50,20110523,193000,2011,05,23,19,30,전라북도,부안군 ,변산면,농촌,면,152308.921900000,236576.421900000,32.00,하천ㆍ바다,"하천,바다 기타",차량추락,20.0,,1.4,290,55,,부안소방서,부안119구조대,
20114508102S00013,수난,인명구조,20110523,193500,2011,봄,2,05,23,19,35,월요일,20110523,193700,2011,05,23,19,37,20110523,193900,2011,05,23,19,39,20110523,203800,2011,05,23,20,38,20110523,205000,2011,05,23,20,50,전라북도,고창군 ,해리면,농촌,면,152595.234400000,222970.218800000,12.00,하천ㆍ바다,강바다,수난기타,18.9,,1.8,320,66,,고창소방서,무장119안전센터,
20114501201S00722,수난,기타,20110526,082800,2011,봄,2,05,26,08,28,목요일,20110526,082900,2011,05,26,08,29,20110526,083700,2011,05,26,08,37,20110526,092000,2011,05,26,09,20,20110526,092600,2011,05,26,09,26,전라북도,전주시덕진구,송천동1가,도시,동,210638.812500000,262192.156300000,8.00,하천ㆍ바다,하천,수난기타,17.6,0.30,0.9,110,78,,전주덕진소방서,전주덕진119구조대,
20114509201S00265,수난,인명구조,20110530,083000,2011,봄,2,05,30,08,30,월요일,20110530,083100,2011,05,30,08,31,20110530,083500,2011,05,30,08,35,20110530,085000,2011,05,30,08,50,20110530,085500,2011,05,30,08,55,전라북도,부안군 ,부안읍,농촌,읍,176288.312500000,247808.187500000,3.00,하천ㆍ바다,하천,수난기타,19.6,,1.1,200,57,,부안소방서,부안119구조대,
