resc_reprt_no,acdnt_cause,prcs_result_se_nm,dclr_ymd,dclr_tm,dclr_yr,season_se_nm,qu_se_nm,dclr_mm,dclr_dd,dclr_hh,dclr_mi,daywk,dsp_ymd,dsp_tm,dsp_yr,dsp_mm,dsp_dd,dsp_hh,dsp_mi,spt_arvl_ymd,spt_arvl_tm,spt_arvl_yr,spt_arvl_mm,spt_arvl_dd,spt_arvl_hh,spt_arvl_mi,resc_cmptn_ymd,resc_cmptn_tm,resc_cmptn_yr,resc_cmptn_mm,resc_cmptn_dd,resc_cmptn_hh,resc_cmptn_mi,hmg_ymd,hmg_tm,hmg_yr,hmg_mm,hmg_dd,hmg_hh,hmg_mi,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se,dong_se,loc_info_x,loc_info_y,spt_frstt_dist,acdnt_place_nm,acdnt_place_detail_nm,acdnt_cause_asort_nm,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,frstt_nm,ward_nm,lfdau_nm
20115004201S00016,산악,인명구조,20110111,162100,2011,겨울,1,1,11,16,21,화요일,20110111,162100,2011,1,11,16,21,20110111,164000,2011,1,11,16,40,20110111,172500,2011,1,11,17,25,20110111,175800,2011,1,11,17,58,제주특별자치도,서귀포시,성산읍,농촌,읍,187676.5938,38047.0117,15,산,정상,산악기타,3.2,,1.9,320,90,,동부소방서,동부구조대,
20115001201S00064,산악,인명구조,20110113,114900,2011,겨울,1,1,13,11,49,목요일,20110113,115400,2011,1,13,11,54,20110113,122200,2011,1,13,12,22,20110113,143000,2011,1,13,14,30,20110113,150000,2011,1,13,15,0,제주특별자치도,제주시,아라일동,도시,동,155968.9063,51297.9063,50,산,산기타,산악기타,3,,2.1,340,53,,제주소방서,제주구조대,
20115001201S00186,산악,인명구조,20110205,135800,2011,겨울,1,2,5,13,58,토요일,20110205,140000,2011,2,5,14,0,20110205,155200,2011,2,5,15,52,20110205,165500,2011,2,5,16,55,20110205,170000,2011,2,5,17,0,제주특별자치도,서귀포시,남원읍,농촌,읍,164970.2969,37639.5273,20,산,산기타,산악기타,13.3,,3.5,160,46,,제주소방서,제주구조대,
20115004201S00060,산악,인명구조,20110205,152100,2011,겨울,1,2,5,15,21,토요일,20110205,152300,2011,2,5,15,23,20110205,152700,2011,2,5,15,27,20110205,160700,2011,2,5,16,7,20110205,162000,2011,2,5,16,20,제주특별자치도,서귀포시,성산읍,농촌,읍,193880.4375,46667.5898,4,산,산기타,산악기타,11.6,,4.1,320,20,,동부소방서,동부구조대,
20115004201S00084,산악,인명구조,20110219,165800,2011,겨울,1,2,19,16,58,토요일,20110219,170100,2011,2,19,17,1,20110219,172500,2011,2,19,17,25,20110219,182200,2011,2,19,18,22,20110219,200100,2011,2,19,20,1,제주특별자치도,제주시,조천읍,농촌,읍,169328.1563,42097.5,25,산,산기타,일반조난,10.2,,3.4,360,59,,동부소방서,동부구조대,
20115002108S00017,산악,인명구조,20110223,181700,2011,겨울,1,2,23,18,17,수요일,20110223,182500,2011,2,23,18,25,20110223,194500,2011,2,23,19,45,20110223,195000,2011,2,23,19,50,20110223,202500,2011,2,23,20,25,제주특별자치도,서귀포시,남원읍,농촌,읍,164923.3438,37612.1953,20,산,산기타,산악기타,13.5,,2.3,70,76,,동부소방서,남원센터,
20115004201S00091,산악,인명구조,20110223,181700,2011,겨울,1,2,23,18,17,수요일,20110223,182500,2011,2,23,18,25,20110223,190700,2011,2,23,19,7,20110223,195000,2011,2,23,19,50,20110223,204000,2011,2,23,20,40,제주특별자치도,서귀포시,남원읍,농촌,읍,164923.3438,37612.1953,40,산,산기타,일반조난,13.5,,2.3,70,76,,동부소방서,동부구조대,
20115001201S00259,산악,인명구조,20110223,190400,2011,겨울,1,2,23,19,4,수요일,20110223,190600,2011,2,23,19,6,20110223,192700,2011,2,23,19,27,20110223,195800,2011,2,23,19,58,20110223,203000,2011,2,23,20,30,제주특별자치도,제주시,용강동,도시,동,163956.0938,42668.8789,15,산,산기타,일반조난,11.8,,0,0,79,,제주소방서,제주구조대,
20115001201S00266,산악,인명구조,20110225,145900,2011,겨울,1,2,25,14,59,금요일,20110225,150800,2011,2,25,15,8,20110225,153100,2011,2,25,15,31,20110225,170300,2011,2,25,17,3,20110225,184300,2011,2,25,18,43,제주특별자치도,제주시,노형동,도시,동,152775.2344,42316.3164,22,산,산기타,산악기타,11.5,,3.1,320,49,,제주소방서,제주구조대,
20115004201S00095,산악,인명구조,20110225,214300,2011,겨울,1,2,25,21,43,금요일,20110225,214400,2011,2,25,21,44,20110225,214500,2011,2,25,21,45,20110225,220000,2011,2,25,22,0,20110225,220500,2011,2,25,22,5,제주특별자치도,서귀포시,성산읍,농촌,읍,193880.4375,46667.5898,1,산,산기타,산악기타,7.6,,2,290,56,,동부소방서,동부구조대,
20115001201S00297,산악,인명구조,20110303,140700,2011,봄,1,3,3,14,7,목요일,20110303,141200,2011,3,3,14,12,20110303,144600,2011,3,3,14,46,20110303,165100,2011,3,3,16,51,20110303,172900,2011,3,3,17,29,제주특별자치도,제주시,해안동,도시,동,152907.1563,38804.2734,30,산,능선,산악기타,5.2,,6.4,340,43,,제주소방서,제주구조대,
20115001201S00370,산악,인명구조,20110319,145200,2011,봄,1,3,19,14,52,토요일,20110319,145800,2011,3,19,14,58,20110319,165600,2011,3,19,16,56,20110319,170100,2011,3,19,17,1,20110319,180500,2011,3,19,18,5,제주특별자치도,서귀포시,남원읍,농촌,읍,164970.2969,37639.5273,20,산,산기타,산악기타,14.5,,3.8,230,77,,제주소방서,제주구조대,
20115001201S00378,산악,인명구조,20110322,145900,2011,봄,1,3,22,14,59,화요일,20110322,145900,2011,3,22,14,59,20110322,163000,2011,3,22,16,30,20110322,164000,2011,3,22,16,40,20110322,180000,2011,3,22,18,0,제주특별자치도,제주시,아라일동,도시,동,158898.6719,42902.6133,20,산,산기타,산악기타,6.1,,5.1,340,37,,제주소방서,제주구조대,
20115001201S00385,산악,인명구조,20110324,122600,2011,봄,1,3,24,12,26,목요일,20110324,122800,2011,3,24,12,28,20110324,135500,2011,3,24,13,55,20110324,144200,2011,3,24,14,42,20110324,154800,2011,3,24,15,48,제주특별자치도,서귀포시,남원읍,농촌,읍,164951.8438,37642.9805,20,산,산기타,산악기타,12.3,,3.3,230,38,,제주소방서,제주구조대,
20115001201S00394,산악,인명구조,20110326,112700,2011,봄,1,3,26,11,27,토요일,20110326,113200,2011,3,26,11,32,20110326,130000,2011,3,26,13,0,20110326,133000,2011,3,26,13,30,20110326,150000,2011,3,26,15,0,제주특별자치도,서귀포시,남원읍,농촌,읍,164951.8438,37642.9805,30,산,산기타,산악기타,10.1,,5.5,140,38,,제주소방서,제주구조대,
20115001201S00451,산악,인명구조,20110409,111700,2011,봄,2,4,9,11,17,토요일,20110409,111900,2011,4,9,11,19,20110409,112500,2011,4,9,11,25,20110409,133000,2011,4,9,13,30,20110409,135500,2011,4,9,13,55,제주특별자치도,제주시,아라일동,도시,동,159035.5469,42557.3008,20,산,능선,개인(급.만성)질환,12.9,,2.4,290,71,,제주소방서,제주구조대,
20115001201S00477,산악,인명구조,20110414,114700,2011,봄,2,4,14,11,47,목요일,20110414,115700,2011,4,14,11,57,20110414,125700,2011,4,14,12,57,20110414,131100,2011,4,14,13,11,20110414,141500,2011,4,14,14,15,제주특별자치도,제주시,아라이동,도시,동,157106.7188,52247.75,20,산,정상,산악기타,16.6,,3.3,20,46,,제주소방서,제주구조대,
20115002201S00214,산악,인명구조,20110416,145500,2011,봄,2,4,16,14,55,토요일,20110416,150200,2011,4,16,15,2,20110416,151500,2011,4,16,15,15,20110416,161000,2011,4,16,16,10,20110416,163000,2011,4,16,16,30,제주특별자치도,서귀포시,강정동,도시,동,153899.0938,24349.6191,10,산,산기타,일반조난,17.6,,4.5,90,67,,서귀포소방서,서귀포구조대,
20115002201S00231,산악,인명구조,20110424,190900,2011,봄,2,4,24,19,9,일요일,20110424,191300,2011,4,24,19,13,20110424,192200,2011,4,24,19,22,20110424,193000,2011,4,24,19,30,20110424,195800,2011,4,24,19,58,제주특별자치도,서귀포시,동홍동,도시,동,158263.8281,28107.3164,8,산,산기타,산악기타,14.8,,2.7,140,58,,서귀포소방서,서귀포구조대,
20115002201S00237,산악,기타,20110427,72800,2011,봄,2,4,27,7,28,수요일,20110427,72800,2011,4,27,7,28,20110427,74600,2011,4,27,7,46,20110427,114600,2011,4,27,11,46,20110427,120000,2011,4,27,12,0,제주특별자치도,서귀포시,토평동,도시,동,160238.0625,27215.2266,7,산,산기타,일반조난,15.8,,0.8,340,77,,서귀포소방서,서귀포구조대,
