resc_reprt_no,acdnt_cause,prcs_result_se_nm,dclr_ymd,dclr_tm,dclr_yr,season_se_nm,qu_se_nm,dclr_mm,dclr_dd,dclr_hh,dclr_mi,daywk,dsp_ymd,dsp_tm,dsp_yr,dsp_mm,dsp_dd,dsp_hh,dsp_mi,spt_arvl_ymd,spt_arvl_tm,spt_arvl_yr,spt_arvl_mm,spt_arvl_dd,spt_arvl_hh,spt_arvl_mi,resc_cmptn_ymd,resc_cmptn_tm,resc_cmptn_yr,resc_cmptn_mm,resc_cmptn_dd,resc_cmptn_hh,resc_cmptn_mi,hmg_ymd,hmg_tm,hmg_yr,hmg_mm,hmg_dd,hmg_hh,hmg_mi,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se,dong_se,loc_info_x,loc_info_y,spt_frstt_dist,acdnt_place_nm,acdnt_place_detail_nm,acdnt_cause_asort_nm,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,frstt_nm,ward_nm,lfdau_nm
20115003201S00005,수난,안전조치,20110104,135700,2011,겨울,1,1,4,13,57,화요일,20110104,135800,2011,1,4,13,58,20110104,140200,2011,1,4,14,2,20110104,140700,2011,1,4,14,7,20110104,141500,2011,1,4,14,15,제주특별자치도,제주시,한림읍,농촌,읍,131634.8906,41579.8516,3,하천ㆍ바다,"하천,바다 기타",익수,4.3,,5.8,320,64,,서부소방서,서부구조대,
20115001201S00044,수난,인명구조,20110108,195600,2011,겨울,1,1,8,19,56,토요일,20110108,195800,2011,1,8,19,58,20110108,200500,2011,1,8,20,5,20110108,202700,2011,1,8,20,27,20110108,203200,2011,1,8,20,32,제주특별자치도,제주시,건입동,도시,동,157287.3438,52998.8203,4,하천ㆍ바다,"하천,바다 기타",익수,5.1,,2.1,180,65,,제주소방서,제주구조대,
20115001201S00098,수난,인명구조,20110121,12400,2011,겨울,1,1,21,1,24,금요일,20110121,12500,2011,1,21,1,25,20110121,13600,2011,1,21,1,36,20110121,14800,2011,1,21,1,48,20110121,15500,2011,1,21,1,55,제주특별자치도,제주시,화북이동,도시,동,160248.2969,52403.9531,6,하천ㆍ바다,"하천,바다 기타",익수,1.1,,3.8,340,68,,제주소방서,제주구조대,
20115003103S00001,수난,인명구조,20110123,125200,2011,겨울,1,1,23,12,52,일요일,20110123,125400,2011,1,23,12,54,20110123,125800,2011,1,23,12,58,20110123,143000,2011,1,23,14,30,20110123,145000,2011,1,23,14,50,제주특별자치도,제주시,한경면,농촌,면,124546.5078,34022.0156,1,하천ㆍ바다,"하천,바다 기타",수난기타,6.4,,5.8,340,35,,서부소방서,한경센터,
20115003201S00034,수난,인명구조,20110123,125200,2011,겨울,1,1,23,12,52,일요일,20110123,125400,2011,1,23,12,54,20110123,132000,2011,1,23,13,20,20110123,135000,2011,1,23,13,50,20110123,151900,2011,1,23,15,19,제주특별자치도,제주시,한경면,농촌,면,124546.5078,34022.0156,20,하천ㆍ바다,"하천,바다 기타",수난기타,6.4,,5.8,340,35,,서부소방서,서부구조대,
20115002201S00049,수난,기타,20110129,113200,2011,겨울,1,1,29,11,32,토요일,20110129,113300,2011,1,29,11,33,20110129,114500,2011,1,29,11,45,20110129,120500,2011,1,29,12,5,20110129,122300,2011,1,29,12,23,제주특별자치도,서귀포시,호근동,도시,동,157025.6406,23379.1113,12,하천ㆍ바다,강바다,익수,3.5,,4,290,49,,서귀포소방서,서귀포구조대,
20115002104S00004,수난,기타,20110129,113200,2011,겨울,1,1,29,11,32,토요일,20110129,113300,2011,1,29,11,33,20110129,114000,2011,1,29,11,40,20110129,115800,2011,1,29,11,58,20110129,122300,2011,1,29,12,23,제주특별자치도,서귀포시,호근동,도시,동,157025.6406,23379.1113,5,하천ㆍ바다,강바다,익수,3.5,,4,290,49,,서귀포소방서,대신센터,
20115001201S00145,수난,기타,20110129,231800,2011,겨울,1,1,29,23,18,토요일,20110129,231800,2011,1,29,23,18,20110129,232200,2011,1,29,23,22,20110129,232200,2011,1,29,23,22,20110129,232200,2011,1,29,23,22,제주특별자치도,제주시,삼도이동,도시,동,155515.875,52209.2188,7,하천ㆍ바다,"하천,바다 기타",익수,0.9,,7,320,51,,제주소방서,제주구조대,
20115002201S00078,수난,인명구조,20110212,23100,2011,겨울,1,2,12,2,31,토요일,20110212,23100,2011,2,12,2,31,20110212,23600,2011,2,12,2,36,20110212,25300,2011,2,12,2,53,20110212,30500,2011,2,12,3,5,제주특별자치도,서귀포시,서귀동,도시,동,159408.7344,22845.5156,2,하천ㆍ바다,"하천,바다 기타",수난기타,1.1,,3.2,290,67,,서귀포소방서,서귀포구조대,
20115002201S00079,수난,인명구조,20110212,43400,2011,겨울,1,2,12,4,34,토요일,20110212,43500,2011,2,12,4,35,20110212,44200,2011,2,12,4,42,20110212,45800,2011,2,12,4,58,20110212,51000,2011,2,12,5,10,제주특별자치도,서귀포시,서귀동,도시,동,159401.7969,21806.0801,2,하천ㆍ바다,"하천,바다 기타",익수,1.5,,3.1,290,54,0.2,서귀포소방서,서귀포구조대,
20115003102S00011,수난,인명구조,20110217,120200,2011,겨울,1,2,17,12,2,목요일,20110217,120300,2011,2,17,12,3,20110217,120700,2011,2,17,12,7,20110217,122000,2011,2,17,12,20,20110217,123000,2011,2,17,12,30,제주특별자치도,제주시,애월읍,농촌,읍,137028.3281,46360.1328,3,하천ㆍ바다,강바다,익수,7.1,,3.1,320,80,,서부소방서,애월센터,
20115004201S00094,수난,인명검색,20110225,194600,2011,겨울,1,2,25,19,46,금요일,20110225,195100,2011,2,25,19,51,20110225,195300,2011,2,25,19,53,20110225,235500,2011,2,25,23,55,20110225,235500,2011,2,25,23,55,제주특별자치도,서귀포시,성산읍,농촌,읍,193812.0625,46952.3008,3,하천ㆍ바다,"하천,바다 기타",수난기타,9.2,,3.3,290,51,,동부소방서,동부구조대,
